Time (s),Channel A (uA),Channel B (uA)
113.0,1.2102,1.7305
114.0,1.2004,1.7735
115.0,1.2002,1.7576
116.0,1.1914,1.7455
117.0,1.2056,1.7852
118.0,1.1876,1.7715
119.0,1.208,1.7607
120.0,1.2183,1.7488
121.0,1.1817,1.7593
122.0,1.1704,1.7575
123.0,1.2074,1.7709
124.0,1.2306,1.772
125.0,1.188,1.75
126.0,1.185,1.7518
127.0,1.2071,1.752
128.0,1.1899,1.7398
129.0,1.1939,1.7511
130.0,1.1958,1.7586
131.0,1.4332,2.0004
132.0,1.5844,2.189
133.0,1.709,2.2966
134.0,1.787,2.4257
135.0,1.8388,2.4954
136.0,1.8879,2.5991
137.0,1.911,2.6185
138.0,1.9445,2.6668
139.0,1.9467,2.6763
140.0,1.9583,2.7025
141.0,1.997,2.7365
142.0,1.9847,2.7425
143.0,1.9889,2.765
144.0,1.9986,2.7452
145.0,1.9896,2.7855
146.0,1.9934,2.7675
147.0,2.0023,2.811
148.0,2.0014,2.7841
149.0,1.9847,2.8075
150.0,2.009,2.7721
151.0,1.9922,2.801
152.0,1.9868,2.7824
153.0,1.9888,2.7894
154.0,1.995,2.7978
155.0,2.0193,2.7932
156.0,1.9858,2.8024
157.0,2.0018,2.81
158.0,1.9743,2.8088
159.0,1.9999,2.7979
160.0,2.0108,2.779
161.0,1.9971,2.7875
162.0,1.9924,2.7967
163.0,2.0028,2.7679
164.0,2.0084,2.8111
165.0,2.008,2.7962
166.0,2.0237,2.7961
167.0,2.0025,2.8141
168.0,1.9929,2.8099
169.0,1.9985,2.8033
170.0,1.9991,2.7849
171.0,2.0013,2.8046
172.0,1.9996,2.8052
173.0,2.0021,2.7867
174.0,1.9799,2.8156
175.0,2.01,2.8076
176.0,1.9931,2.7704
177.0,1.9859,2.8018
178.0,2.0077,2.781
179.0,2.0158,2.817
180.0,2.0059,2.8121
181.0,2.0019,2.7834
182.0,1.9888,2.7867
183.0,2.0345,2.8015
184.0,2.0106,2.7964
185.0,1.9863,2.8229
186.0,1.9906,2.8111
187.0,2.001,2.7958
188.0,1.9813,2.8087
189.0,2.002,2.7695
190.0,1.9945,2.8046
191.0,2.2982,3.1006
192.0,2.4981,3.3088
193.0,2.5996,3.4753
194.0,2.7369,3.6302
195.0,2.7917,3.7569
196.0,2.878,3.813
197.0,2.905,3.8573
198.0,2.9371,3.9458
199.0,2.9374,3.9348
200.0,2.9863,4.0008
201.0,2.9987,4.0082
202.0,2.9689,4.0492
203.0,2.9914,4.0369
204.0,2.9825,4.0806
205.0,2.993,4.0739
206.0,2.98,4.0503
207.0,3.0189,4.0518
208.0,2.9859,4.0808
209.0,2.9947,4.1082
210.0,3.0047,4.0931
211.0,2.9913,4.0942
212.0,2.9965,4.0911
213.0,2.9928,4.1069
214.0,2.9981,4.1024
215.0,2.9857,4.1017
216.0,2.9946,4.0833
217.0,2.9974,4.1163
218.0,2.9959,4.1193
219.0,3.0006,4.0796
220.0,2.9964,4.1338
221.0,3.009,4.1103
222.0,2.9961,4.0922
223.0,2.9983,4.0711
224.0,2.992,4.1096
225.0,2.9937,4.1082
226.0,2.9848,4.0909
227.0,3.0062,4.073
228.0,2.9863,4.1168
229.0,2.991,4.0911
230.0,3.0043,4.0929
231.0,3.0048,4.1426
232.0,2.9952,4.1319
233.0,2.9758,4.1143
234.0,3.005,4.0931
235.0,3.0031,4.1097
236.0,2.9831,4.0658
237.0,3.0092,4.1016
238.0,2.9916,4.0886
239.0,2.9865,4.0807
240.0,3.0011,4.0763
241.0,2.9979,4.1079
242.0,3.0024,4.1013
243.0,2.9807,4.1024
244.0,3.0217,4.1126
245.0,2.9928,4.0873
246.0,2.9815,4.0815
247.0,3.0074,4.0734
248.0,2.9957,4.095
249.0,3.0039,4.1114
250.0,2.9959,4.0978
251.0,3.5662,4.6847
252.0,3.9761,5.1053
253.0,4.2553,5.4648
254.0,4.481,5.732
255.0,4.6166,5.9364
256.0,4.7189,6.1478
257.0,4.807,6.261
258.0,4.8664,6.3367
259.0,4.8977,6.4145
260.0,4.9183,6.4857
261.0,4.9563,6.5122
262.0,4.9422,6.5771
263.0,4.9614,6.5798
264.0,4.9817,6.6159
265.0,4.9702,6.6235
266.0,4.9907,6.6452
267.0,4.9924,6.6429
268.0,5.0058,6.6475
269.0,4.9855,6.663
270.0,4.9899,6.6723
271.0,5.0022,6.6819
272.0,4.9692,6.6904
273.0,5.0363,6.7146
274.0,4.9909,6.7057
275.0,4.9908,6.6912
276.0,5.01,6.707
277.0,4.9993,6.6866
278.0,4.9785,6.7194
279.0,5.0074,6.7064
280.0,5.0102,6.6782
281.0,4.9945,6.7102
282.0,4.9966,6.7114
283.0,5.0058,6.659
284.0,4.9891,6.6882
285.0,5.0052,6.6925
286.0,5.0024,6.6708
287.0,4.9919,6.6837
288.0,4.9833,6.6856
289.0,4.9973,6.7075
290.0,4.9895,6.7044
291.0,5.012,6.7393
292.0,5.0017,6.694
293.0,5.0094,6.7172
294.0,5.0016,6.7011
295.0,5.0032,6.704
296.0,4.9906,6.6826
297.0,5.008,6.6713
298.0,5.0214,6.6885
299.0,4.9963,6.7114
300.0,4.9929,6.7237
