Time (s),Channel A (uA),Channel B (uA)
238.0,2.5998,3.5182
239.0,2.5826,3.5124
240.0,2.5945,3.5062
241.0,2.6089,3.5224
242.0,2.599,3.5047
243.0,2.601,3.4875
244.0,2.5965,3.5305
245.0,2.6139,3.4815
246.0,2.5997,3.498
247.0,2.5736,3.4989
248.0,2.5917,3.5215
249.0,2.5764,3.4885
250.0,2.561,3.4958
251.0,3.0897,3.9599
252.0,3.4675,4.3707
253.0,3.7068,4.6675
254.0,3.8746,4.9004
255.0,4.0082,5.0558
256.0,4.1267,5.2127
257.0,4.1822,5.3044
258.0,4.229,5.3951
259.0,4.2622,5.4669
260.0,4.288,5.5388
261.0,4.3149,5.5528
262.0,4.3246,5.5931
263.0,4.3296,5.602
264.0,4.321,5.625
265.0,4.3443,5.6377
266.0,4.3333,5.6573
267.0,4.3571,5.68
268.0,4.3304,5.6589
269.0,4.3452,5.6917
270.0,4.3477,5.6708
271.0,4.3325,5.6934
272.0,4.3695,5.6826
273.0,4.3667,5.6883
274.0,4.3438,5.6885
275.0,4.3588,5.7121
276.0,4.3542,5.7003
277.0,4.3184,5.7133
278.0,4.3529,5.6922
279.0,4.3492,5.6946
280.0,4.3509,5.7227
281.0,4.337,5.674
282.0,4.3467,5.6857
283.0,4.3478,5.6964
284.0,4.3642,5.7265
285.0,4.354,5.6902
286.0,4.3499,5.7113
287.0,4.3683,5.7232
288.0,4.3433,5.6959
289.0,4.3453,5.6969
290.0,4.3282,5.7246
291.0,4.3688,5.6912
292.0,4.3616,5.6838
293.0,4.361,5.712
294.0,4.358,5.6918
295.0,4.3513,5.7191
296.0,4.3526,5.7077
297.0,4.347,5.6733
298.0,4.3476,5.7038
299.0,4.3507,5.6998
300.0,4.3681,5.6897
