Time (s),Potential (mV)
179.0,43.614
180.0,46.922
181.0,49.388
182.0,52.036
183.0,55.543
184.0,58.172
185.0,61.514
186.0,63.873
187.0,66.21
188.0,69.053
189.0,73.16
190.0,76.089
191.0,75.328
192.0,75.247
193.0,75.985
194.0,74.957
195.0,75.042
196.0,75.657
197.0,75.242
198.0,75.398
199.0,75.335
200.0,75.535
201.0,75.963
202.0,75.436
203.0,75.658
204.0,74.58
205.0,75.381
206.0,75.063
207.0,74.912
208.0,75.049
209.0,75.266
210.0,75.766
211.0,74.869
212.0,75.412
213.0,75.206
214.0,75.269
215.0,75.801
216.0,75.615
217.0,75.935
218.0,75.338
219.0,75.122
220.0,75.31
221.0,75.497
222.0,75.471
223.0,74.966
224.0,75.436
225.0,75.491
226.0,76.407
227.0,76.151
228.0,75.059
229.0,75.285
230.0,74.815
231.0,78.064
232.0,81.326
233.0,84.582
234.0,86.708
235.0,89.638
236.0,91.941
237.0,95.635
238.0,98.175
239.0,101.288
240.0,104.049
241.0,107.262
242.0,109.497
243.0,112.513
244.0,116.852
245.0,118.385
246.0,121.361
247.0,125.435
248.0,128.762
249.0,130.031
250.0,133.253
251.0,133.537
252.0,134.091
253.0,133.005
254.0,133.302
255.0,133.711
256.0,133.574
257.0,133.25
258.0,133.346
259.0,132.85
260.0,133.305
261.0,133.293
262.0,133.493
263.0,133.178
264.0,133.589
265.0,133.805
266.0,133.462
267.0,133.541
268.0,133.421
269.0,133.4
270.0,133.111
271.0,133.527
272.0,133.361
273.0,134.237
274.0,134.029
275.0,133.554
276.0,133.095
277.0,132.955
278.0,133.876
279.0,133.505
280.0,133.592
281.0,132.702
282.0,133.771
283.0,133.582
284.0,132.956
285.0,133.211
286.0,133.505
287.0,133.421
288.0,133.283
289.0,133.359
290.0,133.299
291.0,136.361
292.0,139.789
293.0,141.073
294.0,144.905
295.0,147.971
296.0,150.918
297.0,153.551
298.0,155.897
299.0,159.631
300.0,163.091
301.0,164.686
302.0,168.546
303.0,170.969
304.0,173.975
305.0,176.479
306.0,179.666
307.0,183.22
308.0,185.833
309.0,189.193
310.0,191.871
311.0,191.576
312.0,192.098
313.0,191.576
314.0,191.731
315.0,191.281
316.0,191.427
317.0,191.121
318.0,191.796
319.0,190.929
320.0,191.713
321.0,191.324
322.0,191.868
323.0,191.7
324.0,192.128
325.0,191.692
326.0,190.771
327.0,191.373
328.0,190.931
329.0,191.193
330.0,192.004
331.0,191.655
332.0,191.12
333.0,190.995
334.0,191.413
335.0,190.913
336.0,191.132
337.0,191.525
338.0,191.862
339.0,191.644
340.0,190.483
341.0,191.522
342.0,191.429
343.0,191.566
344.0,192.046
345.0,190.575
346.0,191.164
347.0,191.636
348.0,190.767
349.0,191.99
350.0,191.547
